634 640 480
426 267 -1 1
430 266 -1 1
429 266 -1 1
428 266 -1 1
427 266 -1 1
426 266 -1 1
425 266 -1 1
424 266 -1 1
423 266 -1 1
422 266 -1 1
432 265 -1 1
431 265 -1 1
430 265 -1 1
429 265 -1 1
428 265 -1 1
427 265 -1 1
426 265 -1 1
425 265 -1 1
424 265 -1 1
423 265 -1 1
422 265 -1 1
421 265 -1 1
420 265 -1 1
433 264 -1 1
432 264 -1 1
431 264 -1 1
430 264 -1 1
429 264 -1 1
428 264 -1 1
427 264 -1 1
426 264 -1 1
425 264 -1 1
424 264 -1 1
423 264 -1 1
422 264 -1 1
421 264 -1 1
420 264 -1 1
419 264 -1 1
434 263 -1 1
433 263 -1 1
432 263 -1 1
431 263 -1 1
430 263 -1 1
429 263 -1 1
428 263 -1 1
427 263 -1 1
426 263 -1 1
425 263 -1 1
424 263 -1 1
423 263 -1 1
422 263 -1 1
421 263 -1 1
420 263 -1 1
419 263 -1 1
418 263 -1 1
434 262 -1 1
433 262 -1 1
432 262 -1 1
431 262 -1 1
430 262 -1 1
429 262 -1 1
428 262 -1 1
427 262 -1 1
426 262 -1 1
425 262 -1 1
424 262 -1 1
423 262 -1 1
422 262 -1 1
421 262 -1 1
420 262 -1 1
419 262 -1 1
418 262 -1 1
435 261 -1 1
434 261 -1 1
433 261 -1 1
432 261 -1 1
431 261 -1 1
430 261 -1 1
429 261 -1 1
428 261 -1 1
427 261 -1 1
426 261 -1 1
425 261 -1 1
424 261 -1 1
423 261 -1 1
422 261 -1 1
421 261 -1 1
420 261 -1 1
419 261 -1 1
418 261 -1 1
417 261 -1 1
435 260 -1 1
434 260 -1 1
433 260 -1 1
432 260 -1 1
431 260 -1 1
430 260 -1 1
429 260 -1 1
428 260 -1 1
427 260 -1 1
426 260 -1 1
425 260 -1 1
424 260 -1 1
423 260 -1 1
422 260 -1 1
421 260 -1 1
420 260 -1 1
419 260 -1 1
418 260 -1 1
417 260 -1 1
435 259 -1 1
434 259 -1 1
433 259 -1 1
432 259 -1 1
431 259 -1 1
430 259 -1 1
429 259 -1 1
428 259 -1 1
427 259 -1 1
426 259 -1 1
425 259 -1 1
424 259 -1 1
423 259 -1 1
422 259 -1 1
421 259 -1 1
420 259 -1 1
419 259 -1 1
418 259 -1 1
417 259 -1 1
435 258 -1 1
434 258 -1 1
433 258 -1 1
432 258 -1 1
431 258 -1 1
430 258 -1 1
429 258 -1 1
428 258 -1 1
427 258 -1 1
426 258 -1 1
425 258 -1 1
424 258 -1 1
423 258 -1 1
422 258 -1 1
421 258 -1 1
420 258 -1 1
419 258 -1 1
418 258 -1 1
417 258 -1 1
436 257 -1 1
435 257 -1 1
434 257 -1 1
433 257 -1 1
432 257 -1 1
431 257 -1 1
430 257 -1 1
429 257 -1 1
428 257 -1 1
427 257 -1 1
426 257 -1 1
425 257 -1 1
424 257 -1 1
423 257 -1 1
422 257 -1 1
421 257 -1 1
420 257 -1 1
419 257 -1 1
418 257 -1 1
417 257 -1 1
416 257 -1 1
435 256 -1 1
434 256 -1 1
433 256 -1 1
432 256 -1 1
431 256 -1 1
430 256 -1 1
429 256 -1 1
428 256 -1 1
427 256 -1 1
426 256 -1 1
425 256 -1 1
424 256 -1 1
423 256 -1 1
422 256 -1 1
421 256 -1 1
420 256 -1 1
419 256 -1 1
418 256 -1 1
417 256 -1 1
435 255 -1 1
434 255 -1 1
433 255 -1 1
432 255 -1 1
431 255 -1 1
430 255 -1 1
